,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,1.0,0.0,0.0,1.0,-1.0
1,0.0078125,0.9921875,0.0,0.0,1.0,-1.0
2,0.015625,0.984375,0.0,0.0,1.0,-1.0
3,0.0234375,0.9765625,0.0,0.0,1.0,-1.0
4,0.03125,0.96875,0.0,0.0,1.0,-1.0
5,0.0390625,0.9609375,0.0,0.0,1.0,-1.0
6,0.046875,0.953125,0.0,0.0,1.0,-1.0
7,0.0546875,0.9453125,0.0,0.0,1.0,-1.0
8,0.0625,0.9375,0.0,0.0,1.0,-1.0
9,0.0703125,0.9296875,0.0,0.0,1.0,-1.0
10,0.078125,0.921875,0.0,0.0,1.0,-1.0
11,0.0859375,0.9140625,0.0,0.0,1.0,-1.0
12,0.09375,0.90625,0.0,0.0,1.0,-1.0
13,0.1015625,0.8984375,0.0,0.0,1.0,-1.0
14,0.109375,0.890625,0.0,0.0,1.0,-1.0
15,0.1171875,0.8828125,0.0,0.0,1.0,-1.0
16,0.125,0.875,0.0,0.0,1.0,-1.0
17,0.1328125,0.8671875,0.0,0.0,1.0,-1.0
18,0.140625,0.859375,0.0,0.0,1.0,-1.0
19,0.1484375,0.8515625,0.0,0.0,1.0,-1.0
20,0.15625,0.84375,0.0,0.0,1.0,-1.0
21,0.1640625,0.8359375,0.0,0.0,1.0,-1.0
22,0.171875,0.828125,0.0,0.0,1.0,-1.0
23,0.1796875,0.8203125,0.0,0.0,1.0,-1.0
24,0.1875,0.8125,0.0,0.0,1.0,-1.007
25,0.1953125,0.8046328125,0.00028867968750034834,0.007,1.0,-1.011
26,0.203125,0.796734375,0.0006224687499951642,0.018,1.006,-1.013
27,0.2109375,0.7888203125,0.0019378046875004884,0.031,1.018,-1.026
28,0.21875,0.7808046875,0.007201179687498893,0.057,1.018,-1.008
29,0.2265625,0.7729296875,0.007506054687496544,0.065,1.023,-1.001
30,0.234375,0.765109375,0.0071378437500015934,0.066,1.023,-1.02
31,0.2421875,0.757140625,0.00869221874999937,0.086,1.041,-1.058
32,0.25,0.748875,0.012634875000003376,0.144,1.065,-1.095
33,0.2578125,0.7403203125,0.023639679687505577,0.239,1.08,-1.106
34,0.265625,0.7316796875,0.04515605468751005,0.321,1.1504864,-1.26
35,0.2734375,0.7218359375,0.07702324218750789,0.567,1.18635689,-1.285
36,0.28125,0.711796875,0.12840546875000314,0.827,1.3432144299999997,-1.273
37,0.2890625,0.7018515625,0.18148774218749963,1.099,1.45236083,-1.331
38,0.296875,0.691453125,0.21678096875000108,1.4,1.61449921,-1.457
39,0.3046875,0.6800703125,0.2693015546874875,1.774,1.90276641,-1.533
40,0.3125,0.66809375,0.3601229999999944,2.187,2.16716679,-1.869
41,0.3203125,0.6534921875,0.49387805468749235,2.874,2.61084763,-2.555
42,0.328125,0.63353125,0.7088401250000018,4.09,3.2484854799999994,-2.99
43,0.3359375,0.610171875,0.9842155937499939,5.61,4.353851230000001,-3.973
44,0.34375,0.5791328125,1.3074403046874963,7.662,5.802788680000001,-4.688
