,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0.0,0.9995,-1.0,0.0005,1.0,0.0
2,0.0,0.999,-1.0,0.001,1.0,0.0
3,0.0,0.9985,-1.0,0.0015,1.0,0.0
4,0.0,0.998,-1.0,0.002,1.0,0.0
5,0.0,0.9975,-1.0,0.0025,1.0,0.0
6,0.0,0.997,-1.0,0.003,1.0,0.0
7,0.0,0.9965,-1.0,0.0035,1.0,0.0
8,0.0,0.996,-1.0,0.004,1.0,0.0
9,0.0,0.9955,-1.0,0.0045,1.0,0.0
10,0.0,0.995,-1.0,0.005,1.0,0.0
11,0.0,0.9945,-1.0,0.0055,1.0,0.0
12,0.0,0.994,-1.0,0.006,1.0,0.0
13,0.0,0.9935,-1.0,0.0065,1.0,0.0
14,0.0,0.993,-1.0,0.007,1.0,0.0
15,0.0,0.9925,-1.0,0.0075,1.0,0.0
16,0.0,0.992,-1.0,0.008,1.0,0.0
17,0.0,0.9915,-1.0,0.0085,1.0,0.0
18,0.0,0.991,-1.0,0.009,1.0,0.0
19,0.0,0.9905,-1.0,0.0095,1.0,0.0
20,0.0,0.99,-1.0,0.01,1.0,0.0
21,0.0,0.9895,-1.0,0.0105,1.0,0.0
22,0.0,0.989,-1.0,0.011,1.0,0.0
23,0.0,0.9885,-1.0,0.0115,1.0,0.0
24,0.0,0.988,-1.0,0.012,1.0,0.0
25,0.0,0.9875,-1.0,0.0125,1.0,0.0
26,0.0,0.987,-1.0,0.013,1.0,0.0
27,0.0,0.9865,-1.0,0.0135,1.0,0.0
28,0.0,0.986,-1.0,0.014,1.0,0.0
29,0.0,0.9855,-1.0,0.0145,1.0,0.0
30,0.0,0.985,-1.0,0.015,1.0,0.0
31,0.0,0.9845,-1.0,0.0155,1.0,0.0
32,0.0,0.984,-1.0,0.016,1.0,0.0
33,0.0,0.9835,-1.0,0.0165,1.0,0.0
34,0.0,0.983,-1.0,0.017,1.0,0.0
35,0.0,0.9825,-1.0,0.0175,1.0,0.0
36,0.0,0.982,-1.0,0.018,1.0,0.0
37,0.0,0.9815,-1.0,0.0185,1.0,0.0
38,0.0,0.981,-1.0,0.019,1.0,0.0
39,0.0,0.9805,-1.0,0.0195,1.0,0.0
40,0.0,0.98,-1.0,0.02,1.0,0.0
41,0.0,0.9795,-1.0,0.0205,1.0,0.0
42,0.0,0.979,-1.0,0.021,1.0,0.0
43,0.0,0.9785,-1.0,0.0215,1.0,0.0
44,0.0,0.978,-1.0,0.022,1.0,0.0
45,0.0,0.9775,-1.0,0.0225,1.0,0.0
46,0.0,0.977,-1.0,0.023,1.0,0.0
47,0.0,0.9765,-1.0,0.0235,1.0,0.0
48,0.0,0.976,-32.888888888888886,0.024,1.0,0.0
49,31.88888888888889,0.9595555555555555,-1.0,0.0245,32.851851851851855,13.219716049382928
50,31.88888888888889,0.9590555555555556,-1.0,0.025,32.851851851851855,13.219716049382695
51,31.88888888888889,0.9585555555555555,-1.0,0.0255,32.851851851851855,13.219716049382695
52,31.88888888888889,0.9580555555555555,-1.0,0.026,32.851851851851855,13.219716049382695
53,31.88888888888889,0.9575555555555555,-1.0,0.0265,32.851851851851855,13.219716049382695
54,31.88888888888889,0.9570555555555555,-1.0,0.027,32.851851851851855,13.219716049382928
55,31.88888888888889,0.9565555555555555,-1.0,0.0275,32.851851851851855,13.219716049382695
56,31.88888888888889,0.9560555555555555,-30.62962962962963,0.028,32.851851851851855,13.219716049382928
57,61.51851851851852,0.9407407407407408,-1.0,0.0285,62.44444444444444,23.68775445816177
58,61.51851851851852,0.9402407407407407,-1.0,0.029,62.44444444444444,23.68775445816177
59,61.51851851851852,0.9397407407407408,-35.55555555555556,0.0295,62.44444444444444,23.68775445816177
60,96.07407407407408,0.921962962962963,-67.66666666666667,0.03,96.96296296296296,37.08507133058994
61,162.74074074074073,0.8881296296296297,-19.703703703703702,0.0305,96.96296296296296,58.4775034293551
62,181.44444444444446,0.8782777777777778,-0.9629629629629629,0.031,115.62962962962963,59.965604938271454
63,181.40740740740742,0.8777962962962963,-0.9629629629629629,0.0315,115.62962962962963,59.93815775034274
64,181.37037037037038,0.8773148148148148,-1.0,0.032,115.5925925925926,59.91526474622777
