,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,,,,0.0,,
1,,,,0.0005,,
2,,,,0.001,,
3,,,,0.0015,,
4,,,,0.002,,
5,,,,0.0025,,
6,,,,0.003,,
7,,,,0.0035,,
8,,,,0.004,,
9,,,,0.0045,,
10,,,,0.005,,
11,,,,0.0055,,
12,,,,0.006,,
13,,,,0.0065,,
14,,,,0.007,,
15,,,,0.0075,,
16,,,,0.008,,
17,,,,0.0085,,
18,,,,0.009,,
19,,,,0.0095,,
20,,,,0.01,,
21,,,,0.0105,,
22,,,,0.011,,
23,,,,0.0115,,
24,,,,0.012,,
25,,,,0.0125,,
26,,,,0.013,,
27,,,,0.0135,,
28,,,,0.014,,
29,,,,0.0145,,
30,,,,0.015,,
31,,,,0.0155,,
32,,,,0.016,,
33,,,,0.0165,,
34,,,,0.017,,
35,,,,0.0175,,
36,,,,0.018,,
37,,,,0.0185,,
38,,,,0.019,,
39,,,,0.0195,,
40,,,,0.02,,
41,,,,0.0205,,
42,,,,0.021,,
43,,,,0.0215,,
44,,,,0.022,,
45,,,,0.0225,,
46,,,,0.023,,
47,,,,0.0235,,
48,,,,0.024,,
49,,,,0.0245,,
50,,,,0.025,,
51,,,,0.0255,,
52,,,,0.026,,
53,,,,0.0265,,
54,,,,0.027,,
55,,,,0.0275,,
56,,,,0.028,,
57,,,,0.0285,,
58,,,,0.029,,
59,,,,0.0295,,
60,,,,0.03,,
61,,,,0.0305,,
62,,,,0.031,,
63,,,,0.0315,,
64,,,,0.032,,
65,,,,0.0325,,
66,,,,0.033,,
67,,,,0.0335,,
68,,,,0.034,,
69,,,,0.0345,,
70,,,,0.035,,
71,,,,0.0355,,
72,,,,0.036,,
73,,,,0.0365,,
74,,,,0.037,,
75,,,,0.0375,,
76,,,,0.038,,
77,,,,0.0385,,
78,,,,0.039,,
79,,,,0.0395,,
80,,,,0.04,,
81,,,,0.0405,,
82,,,,0.041,,
83,,,,0.0415,,
84,,,,0.042,,
85,,,,0.0425,,
86,,,,0.043,,
87,,,,0.0435,,
88,,,,0.044,,
89,,,,0.0445,,
90,,,,0.045,,
91,,,,0.0455,,
92,,,,0.046,,
93,,,,0.0465,,
94,,,,0.047,,
95,,,,0.0475,,
96,,,,0.048,,
97,,,,0.0485,,
98,,,,0.049,,
99,,,,0.0495,,
100,,,,0.05,,
101,,,,0.0505,,
102,,,,0.051,,
103,,,,0.0515,,
104,,,,0.052,,
105,,,,0.0525,,
106,,,,0.053,,
107,,,,0.0535,,
108,,,,0.054,,
109,,,,0.0545,,
110,,,,0.055,,
111,,,,0.0555,,
112,,,,0.056,,
113,,,,0.0565,,
114,,,,0.057,,
115,,,,0.0575,,
116,,,,0.058,,
117,,,,0.0585,,
118,,,,0.059,,
119,,,,0.0595,,
120,,,,0.06,,
121,,,,0.0605,,
122,,,,0.061,,
123,,,,0.0615,,
124,,,,0.062,,
125,,,,0.0625,,
126,,,,0.063,,
127,,,,0.0635,,
128,,,,0.064,,
129,,,,0.0645,,
130,,,,0.065,,
131,,,,0.0655,,
132,,,,0.066,,
133,,,,0.0665,,
134,,,,0.067,,
135,,,,0.0675,,
136,,,,0.068,,
137,,,,0.0685,,
138,,,,0.069,,
139,,,,0.0695,,
140,,,,0.07,,
141,,,,0.0705,,
142,,,,0.071,,
143,,,,0.0715,,
144,,,,0.072,,
145,,,,0.0725,,
146,,,,0.073,,
147,,,,0.0735,,
148,,,,0.074,,
149,,,,0.0745,,
150,,,,0.075,,
151,,,,0.0755,,
152,,,,0.076,,
153,,,,0.0765,,
154,,,,0.077,,
155,,,,0.0775,,
156,,,,0.078,,
157,,,,0.0785,,
158,,,,0.079,,
159,,,,0.0795,,
160,,,,0.08,,
161,,,,0.0805,,
162,,,,0.081,,
163,,,,0.0815,,
164,,,,0.082,,
165,,,,0.0825,,
166,,,,0.083,,
167,,,,0.0835,,
168,,,,0.084,,
169,,,,0.0845,,
170,,,,0.085,,
171,,,,0.0855,,
172,,,,0.086,,
173,,,,0.0865,,
174,,,,0.087,,
175,,,,0.0875,,
176,,,,0.088,,
177,,,,0.0885,,
178,,,,0.089,,
179,,,,0.0895,,
180,,,,0.09,,
181,,,,0.0905,,
182,,,,0.091,,
183,,,,0.0915,,
184,,,,0.092,,
185,,,,0.0925,,
186,,,,0.093,,
187,,,,0.0935,,
188,,,,0.094,,
189,,,,0.0945,,
190,,,,0.095,,
191,,,,0.0955,,
192,,,,0.096,,
193,,,,0.0965,,
194,,,,0.097,,
195,,,,0.0975,,
196,,,,0.098,,
197,,,,0.0985,,
198,,,,0.099,,
199,,,,0.0995,,
200,,,,0.1,,
201,,,,0.1005,,
202,,,,0.101,,
203,,,,0.1015,,
204,,,,0.102,,
205,,,,0.1025,,
