,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0.0,0.996,-1.0,0.004,1.0,0.0
2,0.0,0.992,-1.0,0.008,1.0,0.0
3,0.0,0.988,-1.0,0.012,1.0,0.0
4,0.0,0.984,-1.0,0.016,1.0,0.0
5,0.0,0.98,-1.0,0.02,1.0,0.0
6,0.0,0.976,-1.0,0.024,1.0,0.0
7,0.0,0.972,-1.0,0.028,1.0,0.0
8,0.0,0.968,-1.0,0.032,1.0,0.0
9,0.0,0.964,-1.0,0.036,1.0,0.0
10,0.0,0.96,-1.0,0.04,1.0,0.0
11,0.0,0.956,-1.0,0.044,1.0,0.0
12,0.0,0.952,-1.0,0.048,1.0,0.0
13,0.0,0.948,-1.0,0.052,1.0,0.0
14,0.0,0.944,-1.0,0.056,1.0,0.0
15,0.0,0.94,-1.0,0.06,1.0,0.0
16,0.0,0.936,-1.0,0.064,1.0,0.0
17,0.0,0.932,-1.0,0.068,1.0,0.0
18,0.0,0.928,-1.0,0.072,1.0,0.0
19,0.0,0.924,-1.0,0.076,1.0,0.0
20,0.0,0.92,-1.0,0.08,1.0,0.0
21,0.0,0.916,-1.0,0.084,1.0,0.0
22,0.0,0.912,-1.0,0.088,1.0,0.0
23,0.0,0.908,-1.0,0.092,1.0,0.0
24,0.0,0.904,-1.0,0.096,1.0,0.0
25,0.0,0.9,-1.0,0.1,1.0,0.0
26,0.0,0.896,-1.0,0.104,1.0,0.0
27,0.0,0.892,-1.0,0.108,1.0,0.0
28,0.0,0.888,-1.0,0.112,1.0,0.0
29,0.0,0.884,-1.0,0.116,1.0,0.0
30,0.0,0.88,-1.0,0.12,1.0,0.0
31,0.0,0.876,-1.0,0.124,1.0,0.0
32,0.0,0.872,-1.0,0.128,1.0,0.0
33,0.0,0.868,-1.0,0.132,1.0,0.0
34,0.0,0.864,-1.0,0.136,1.0,0.0
35,0.0,0.86,-1.0,0.14,1.0,0.0
36,0.0,0.856,-1.0,0.144,1.0,0.0
37,0.0,0.852,-1.0,0.148,1.0,0.0
38,0.0,0.848,-1.0,0.152,1.0,0.0
39,0.0,0.844,-1.0,0.156,1.0,0.0
40,0.0,0.84,-1.0,0.16,1.0,0.0
41,0.0,0.836,-1.0,0.164,1.0,0.0
42,0.0,0.832,-1.0,0.168,1.0,0.0
43,0.0,0.828,-1.01,0.172,1.0,0.0
44,0.01,0.82396,-1.0,0.176,1.0,3.959999998915009e-05
45,0.01,0.81996,-1.0,0.18,1.0,3.959999998915009e-05
46,0.01,0.81596,-1.0,0.184,1.0,3.959999998915009e-05
47,0.01,0.81196,-1.0,0.188,1.0,3.959999996004626e-05
48,0.01,0.80796,-1.14,0.192,1.0,3.959999998915009e-05
49,0.15,0.8034,-1.16,0.196,1.0,0.007790000000008149
50,0.31,0.79876,-1.0,0.2,1.0,0.01797559999997611
51,0.31,0.79476,-1.05,0.204,1.0,0.017975600000005216
52,0.36,0.7905599999999999,-1.66,0.208,1.04,0.018841600000014294
53,0.93,0.78392,-1.93,0.212,1.273636,0.08319840000002296
54,1.86,0.7762,-1.46,0.216,1.8836359999999999,0.15522999999998138
55,2.32,0.77036,-1.49,0.22,2.223636,0.1646475999999966
56,2.73,0.7644,-2.21,0.224,2.590303,0.2368399999999965
57,3.94,0.7555599999999999,-2.85,0.228,3.540303,0.5459916000000085
58,5.45,0.7441599999999999,-2.85,0.232,4.6141152,0.8225535999999847
59,7.21,0.73276,-3.95,0.236,5.7469432000000005,1.0229355999999972
60,9.32,0.71696,-2.38,0.24,8.0242909,1.5199295999999887
61,10.12,0.7074400000000001,-2.57,0.244,8.645285100000002,1.6496815999999817
62,11.08,0.69716,-4.39,0.248,8.644979100000002,1.767383600000001
63,13.72,0.6796,-2.96,0.252,10.703481100000001,2.3517199999999865
64,14.6,0.66776,-3.83,0.256,11.132293500000005,2.5289456000000063
65,15.9,0.65244,-5.56,0.26,12.924779700000006,2.834871599999984
66,18.81,0.6302000000000001,-5.29,0.264,14.306231799999999,2.953389999999985
67,21.06,0.6090399999999999,-9.2,0.268,16.029721499999997,3.4269296000000176
68,24.94,0.57224,-5.37,0.272,19.380368,3.8899055999999983
69,26.78,0.55076,-5.35,0.276,21.311998199999998,4.348695599999992
70,27.55,0.52936,-7.24,0.28,21.948454100000006,4.5433776000000075
71,29.5,0.5004,-7.18,0.284,23.3490963,4.817880000000005
72,30.61,0.47168,-6.93,0.288,23.526059999999998,5.282774399999995
73,31.25,0.44395999999999997,-6.95,0.292,23.523945299999987,5.742039600000011
74,32.22,0.41616000000000003,-7.73,0.296,23.950244599999998,5.832633599999994
75,33.7,0.38524,-6.75,0.3,24.393333199999997,5.534375599999992
76,34.38,0.35824,-4.13,0.304,24.326266299999997,4.859945599999995
77,32.76,0.34172,-7.75,0.308,22.42658860000001,4.657780399999992
78,33.55,0.31072000000000005,-4.19,0.312,22.3793525,4.013350399999996
79,31.69,0.29396,-4.56,0.316,20.752894100000006,3.886999600000003
80,30.76,0.27572,-6.83,0.32,19.837222900000008,3.4580203999999974
81,29.91,0.2484,-5.48,0.324,18.9778132,2.7097199999999995
82,30.06,0.22648,-3.63,0.328,18.356840099999996,1.9448624000000019
