,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0.0,0.996,-1.0,0.004,1.0,0.0
2,0.0,0.992,-1.0,0.008,1.0,0.0
3,0.0,0.988,-1.0,0.012,1.0,0.0
4,0.0,0.984,-1.0,0.016,1.0,0.0
5,0.0,0.98,-1.0,0.02,1.0,0.0
6,0.0,0.976,-1.0,0.024,1.0,0.0
7,0.0,0.972,-1.0,0.028,1.0,0.0
8,0.0,0.968,-1.0,0.032,1.0,0.0
9,0.0,0.964,-1.0,0.036,1.0,0.0
10,0.0,0.96,-1.0,0.04,1.0,0.0
11,0.0,0.956,-1.0,0.044,1.0,0.0
12,0.0,0.952,-1.0,0.048,1.0,0.0
13,0.0,0.948,-1.0,0.052,1.0,0.0
14,0.0,0.944,-1.0,0.056,1.0,0.0
15,0.0,0.94,-1.0,0.06,1.0,0.0
16,0.0,0.936,-1.0,0.064,1.0,0.0
17,0.0,0.932,-1.0,0.068,1.0,0.0
18,0.0,0.928,-1.0,0.072,1.0,0.0
19,0.0,0.924,-1.0,0.076,1.0,0.0
20,0.0,0.92,-1.0,0.08,1.0,0.0
21,0.0,0.916,-1.0,0.084,1.0,0.0
22,0.0,0.912,-1.0,0.088,1.0,0.0
23,0.0,0.908,-1.001,0.092,1.0,0.0
24,0.001,0.903996,-1.0,0.096,1.0,3.99600001401268e-06
25,0.001,0.899996,-1.0,0.1,1.0,3.99600001401268e-06
26,0.001,0.895996,-1.0,0.104,1.0,3.99600001401268e-06
27,0.001,0.891996,-1.0,0.108,1.0,3.99600001401268e-06
28,0.001,0.887996,-1.0,0.112,1.0,3.99600001401268e-06
29,0.001,0.883996,-1.0,0.116,1.0,3.99600001401268e-06
30,0.001,0.879996,-1.0,0.12,1.0,3.99600001401268e-06
31,0.001,0.875996,-1.0,0.124,1.0,3.99600001401268e-06
32,0.001,0.871996,-1.0,0.128,1.0,3.99600001401268e-06
33,0.001,0.867996,-1.0,0.132,1.0,3.99600001401268e-06
34,0.001,0.863996,-1.002,0.136,1.0,3.99600001401268e-06
35,0.003,0.8599880000000001,-1.002,0.14,1.001,1.9963999948231502e-05
36,0.005,0.85598,-1.0,0.144,1.001,3.589999998803251e-05
37,0.005,0.8519800000000001,-1.0,0.148,1.001,3.589999998803251e-05
38,0.005,0.8479800000000001,-1.0,0.152,1.001,3.5900000017136336e-05
39,0.005,0.8439800000000001,-1.001,0.156,1.001,3.589999998803251e-05
40,0.006,0.839976,-1.0,0.16,1.001,3.9855999988503756e-05
41,0.006,0.835976,-1.006,0.164,1.001,3.9855999988503756e-05
42,0.012,0.831952,-1.0,0.168,1.001,0.0001834239999880083
43,0.012,0.827952,-1.002,0.172,1.001,0.0001834240000171121
44,0.014,0.823944,-1.002,0.176,1.001,0.00019921600000816399
45,0.016,0.819936,-1.004,0.18,1.001,0.0002149759999883827
46,0.02,0.81592,-1.0,0.184,1.001,0.00027840000003925527
47,0.02,0.81192,-1.0,0.188,1.001,0.00027840000001015143
48,0.02,0.80792,-1.002,0.192,1.001,0.00027840000001015143
49,0.022,0.8039120000000001,-1.003,0.196,1.001,0.0002940639999869745
50,0.025,0.7998999999999999,-1.003,0.2,1.001,0.0003134999999892898
51,0.028,0.795888,-1.004,0.204,1.003,0.00034886399999959397
52,0.032,0.7918719999999999,-1.007,0.208,1.003,0.0004119040000077803
53,0.039,0.7878440000000001,-1.009,0.212,1.003,0.0004939159999776166
54,0.048,0.783808,-1.017,0.216,1.003,0.0006547839999839198
55,0.063,0.77974,-1.005,0.22,1.0106,0.000995100000000093
56,0.068,0.7757200000000001,-1.004,0.224,1.0106,0.0010443999999843073
57,0.072,0.771704,-1.016,0.228,1.0126,0.0010820960000273772
58,0.088,0.76764,-1.034,0.232,1.0216,0.001279599999979837
59,0.122,0.7635040000000001,-1.012,0.236,1.0255999999999998,0.0030424960000091233
60,0.134,0.759456,-1.013,0.24,1.0275999999999998,0.0031500159999704918
61,0.147,0.755404,-1.075,0.244,1.0275999999999998,0.0032831960000039542
62,0.222,0.751104,-1.03,0.248,1.0735999999999999,0.006687295999989146
63,0.251,0.7469840000000001,-1.075,0.252,1.0782666699999999,0.006973935999965761
64,0.323,0.742684,-1.099,0.256,1.0942666699999999,0.009179036000015912
65,0.419,0.738288,-1.131,0.26,1.1452952399999998,0.012571263999998337
66,0.549,0.733764,-1.063,0.264,1.2163428599999997,0.023898075999983122
67,0.611,0.7295119999999999,-1.261,0.268,1.2410761899999998,0.026244464000017616
68,0.864,0.724468,-1.091,0.272,1.32522947,0.053045244000008096
69,0.945,0.7201040000000001,-1.319,0.276,1.34481678,0.054669295999978204
70,1.244,0.714828,-1.16,0.28,1.4650583899999998,0.08214860400000179
71,1.368,0.710188,-1.222,0.284,1.5695279599999996,0.08727916400000686
72,1.545,0.7052999999999999,-1.247,0.288,1.6304569499999995,0.10658950000001642
73,1.73,0.700312,-1.32,0.292,1.7248285899999998,0.11313566400000127
74,1.988,0.6950320000000001,-1.394,0.296,1.8918551099999998,0.1322057439999917
75,2.293,0.6894560000000001,-1.696,0.3,2.0368436000000005,0.1622300159999868
76,2.812,0.6826720000000001,-1.896,0.304,2.29095798,0.2187031039999856
