,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0.0,0.996,-1.0,0.004,1.0,0.0
2,0.0,0.992,-1.0,0.008,1.0,0.0
3,0.0,0.988,-1.0,0.012,1.0,0.0
4,0.0,0.984,-1.0,0.016,1.0,0.0
5,0.0,0.98,-1.0,0.02,1.0,0.0
6,0.0,0.976,-1.0,0.024,1.0,0.0
7,0.0,0.972,-1.0,0.028,1.0,0.0
8,0.0,0.968,-1.0,0.032,1.0,0.0
9,0.0,0.964,-1.0,0.036,1.0,0.0
10,0.0,0.96,-1.0,0.04,1.0,0.0
11,0.0,0.956,-1.0,0.044,1.0,0.0
12,0.0,0.952,-1.0,0.048,1.0,0.0
13,0.0,0.948,-1.0,0.052,1.0,0.0
14,0.0,0.944,-1.0,0.056,1.0,0.0
15,0.0,0.94,-1.0,0.06,1.0,0.0
16,0.0,0.936,-1.0,0.064,1.0,0.0
17,0.0,0.932,-1.0,0.068,1.0,0.0
18,0.0,0.928,-1.0,0.072,1.0,0.0
19,0.0,0.924,-1.01,0.076,1.0,0.0
20,0.01,0.91996,-1.0,0.08,1.0,3.959999998915009e-05
21,0.01,0.91596,-1.0,0.084,1.0,3.959999998915009e-05
22,0.01,0.91196,-1.05,0.088,1.0,3.959999996004626e-05
23,0.06,0.90776,-1.01,0.092,1.0,0.001025599999993574
24,0.07,0.9037200000000001,-1.0,0.096,1.0,0.0010603999999875668
25,0.07,0.8997200000000001,-1.0,0.1,1.0,0.0010603999999875668
26,0.07,0.8957200000000001,-1.0,0.104,1.0,0.0010603999999875668
27,0.07,0.8917200000000001,-1.0,0.108,1.0,0.0010603999999875668
28,0.07,0.8877200000000001,-1.0,0.112,1.0,0.0010603999999875668
29,0.07,0.8837200000000001,-1.0,0.116,1.0,0.0010603999999875668
30,0.07,0.8797200000000001,-1.0,0.12,1.0,0.0010603999999875668
31,0.07,0.87572,-1.06,0.124,1.0,0.0010603999999875668
32,0.13,0.87148,-1.0,0.128,1.02,0.0015724000000045635
33,0.13,0.86748,-1.06,0.132,1.02,0.0015723999999754596
34,0.19,0.86324,-1.0,0.136,1.03,0.0020555999999924096
35,0.19,0.85924,-1.07,0.14,1.03,0.0020555999999924096
36,0.26,0.85496,-1.13,0.144,1.09,0.003889599999994971
37,0.39,0.8504400000000001,-1.13,0.148,1.14,0.005591599999985192
38,0.52,0.84592,-1.06,0.152,1.16,0.009478400000021793
39,0.58,0.84168,-1.03,0.156,1.16,0.009934399999998277
40,0.61,0.83756,-1.06,0.16,1.18,0.010151600000011968
41,0.67,0.8333200000000001,-1.09,0.164,1.23,0.011284399999974994
42,0.76,0.82896,-1.05,0.168,1.3,0.013369600000005448
43,0.8,0.8247599999999999,-1.06,0.172,1.3,0.013815600000001723
44,0.85,0.82052,-1.26,0.176,1.3,0.013972399999998743
45,0.93,0.81548,-1.23,0.18,1.3303629000000001,0.02565239999999176
46,1.13,0.81056,-1.87,0.184,1.4803629,0.03060160000002361
47,1.87,0.80308,-1.64,0.188,1.9424291000000002,0.16478839999999037
48,2.5,0.79652,-1.41,0.192,2.5524291000000003,0.2832523999999976
49,2.9,0.79088,-2.86,0.196,2.7542271,0.30008640000000014
50,4.09,0.77944,-1.38,0.2,3.6887274000000003,0.9150415999999677
51,4.44,0.7739199999999999,-1.24,0.204,3.9876115,0.9274783999999927
52,4.65,0.7689600000000001,-1.37,0.208,4.0144565,0.9176095999999961
53,4.97,0.76348,-4.05,0.212,4.2396616,0.9101324000000023
54,7.45,0.7472799999999999,-2.53,0.216,6.465432599999999,1.4566704000000028
55,8.59,0.7371599999999999,-1.4,0.22,7.672609900000002,1.609703600000037
56,8.7,0.73156,-2.07,0.224,7.8331455,1.5846316000000225
57,9.52,0.7232799999999999,-2.04,0.228,8.386282399999997,1.6103504000000102
58,10.34,0.71512,-3.84,0.232,9.041620599999998,1.7526063999999897
59,12.38,0.6997599999999999,-2.76,0.236,10.931689100000002,2.046305600000007
60,13.13,0.68872,-2.68,0.24,11.473566500000002,2.451950399999987
61,14.08,0.678,-4.52,0.244,12.3077288,2.653080000000002
62,15.99,0.65992,-5.19,0.248,13.6747206,3.398638400000025
63,19.1,0.63916,-5.41,0.252,16.0259977,4.384743600000002
64,22.42,0.61752,-2.96,0.256,18.989591599999997,4.618222400000013
65,23.32,0.60568,-7.24,0.26,19.4726335,4.56489440000002
66,25.86,0.57672,-6.02,0.264,21.03742329999999,5.0347504000000045
67,28.36,0.55264,-4.05,0.268,22.702021100000003,5.000377599999992
68,29.09,0.53644,-5.1,0.272,23.021559200000002,5.012791599999982
69,30.42,0.5160399999999999,-4.32,0.276,23.530548400000008,4.916279600000009
70,31.36,0.49876,-5.95,0.28,23.808972100000002,4.612295599999998
71,32.61,0.47496,-3.82,0.284,24.181997599999985,4.9127696
72,32.71,0.45968000000000003,-4.1,0.288,24.0964426,4.905574399999998
73,32.34,0.44327999999999995,-4.0,0.292,23.1420815,4.9735504
74,32.91,0.42728,-5.3,0.296,23.089240099999994,4.930910400000008
75,33.34,0.40608,-4.26,0.3,22.946387699999992,4.304038400000005
76,33.7,0.38904,-4.63,0.304,22.9767894,3.959569599999995
