,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,1.0,0.0,0.0,1.0,-1.0
1,0.00390625,0.99609375,0.0,0.0,1.0,-1.0
2,0.0078125,0.9921875,0.0,0.0,1.0,-1.0
3,0.01171875,0.98828125,0.0,0.0,1.0,-1.0
4,0.015625,0.984375,0.0,0.0,1.0,-1.0
5,0.01953125,0.98046875,0.0,0.0,1.0,-1.0
6,0.0234375,0.9765625,0.0,0.0,1.0,-1.0
7,0.02734375,0.97265625,0.0,0.0,1.0,-1.0
8,0.03125,0.96875,0.0,0.0,1.0,-1.0
9,0.03515625,0.96484375,0.0,0.0,1.0,-1.0
10,0.0390625,0.9609375,0.0,0.0,1.0,-1.0
11,0.04296875,0.95703125,0.0,0.0,1.0,-1.0
12,0.046875,0.953125,0.0,0.0,1.0,-1.0
13,0.05078125,0.94921875,0.0,0.0,1.0,-1.0
14,0.0546875,0.9453125,0.0,0.0,1.0,-1.0
15,0.05859375,0.94140625,0.0,0.0,1.0,-1.0
16,0.0625,0.9375,0.0,0.0,1.0,-1.0
17,0.06640625,0.93359375,0.0,0.0,1.0,-1.0003
18,0.0703125,0.929686328125,3.515273448329026e-06,0.0003,1.0,-1.0
19,0.07421875,0.925780078125,3.515273448329026e-06,0.0003,1.0,-1.0
20,0.078125,0.921873828125,3.515273448329026e-06,0.0003,1.0,-1.0
21,0.08203125,0.917967578125,3.5152734767507354e-06,0.0003,1.0,-1.0
22,0.0859375,0.914061328125,3.5152734767507354e-06,0.0003,1.0,-1.0
23,0.08984375,0.910155078125,3.5152734767507354e-06,0.0003,1.0,-1.0
24,0.09375,0.906248828125,3.515273448329026e-06,0.0003,1.0,-1.0
25,0.09765625,0.902342578125,3.515273448329026e-06,0.0003,1.0,-1.0
26,0.1015625,0.898436328125,3.515273448329026e-06,0.0003,1.0,-1.0
27,0.10546875,0.894530078125,3.515273448329026e-06,0.0003,1.0,-1.0
28,0.109375,0.890623828125,3.515273448329026e-06,0.0003,1.0,-1.0
29,0.11328125,0.886717578125,3.515273448329026e-06,0.0003,1.0,-1.0
30,0.1171875,0.882811328125,3.515273448329026e-06,0.0003,1.0,-1.0
31,0.12109375,0.878905078125,3.515273448329026e-06,0.0003,1.0,-1.0001
32,0.125,0.8749984375,3.905625021616288e-06,0.0004,1.0,-1.0
33,0.12890625,0.8710921875,3.905625021616288e-06,0.0004,1.0,-1.0001
34,0.1328125,0.867185546875,4.295898406780907e-06,0.0005,1.0,-1.0002
35,0.13671875,0.863278515625,5.0762109253810195e-06,0.0007,1.0,-1.0
36,0.140625,0.859372265625,5.0762109253810195e-06,0.0007,1.0,-1.0003
37,0.14453125,0.85546484375,7.0273437700052455e-06,0.001,1.0,-1.0005
38,0.1484375,0.851556640625,1.2100585934149422e-05,0.0015,1.0,-1.001
39,0.15234375,0.847646484375,2.6147460943093392e-05,0.0025,1.0006,-1.0014
40,0.15625,0.843734765625,5.111246090905297e-05,0.0039,1.0006,-1.0002
41,0.16015625,0.839827734375,5.188746092699148e-05,0.0041,1.0006,-1.0025
42,0.1640625,0.83591171875,8.498609372509236e-05,0.0066,1.0008,-1.0009
43,0.16796875,0.832001953125,9.704589842840505e-05,0.0075,1.0008,-1.0035
44,0.171875,0.82808203125,0.00014171484374969623,0.011,1.0011,-1.0009
45,0.17578125,0.824172265625,0.00014671246091779722,0.0119,1.0011,-1.0011
46,0.1796875,0.82026171875,0.00016418359373915337,0.013,1.0011,-1.0027
47,0.18359375,0.816344921875,0.00019005277343353555,0.0157,1.0016,-1.0016
48,0.1875,0.812432421875,0.00022109652343260677,0.0173,1.0023,-1.0073
49,0.19140625,0.80849765625,0.00046247984374758744,0.0246,1.0032,-1.0038
50,0.1953125,0.8045765625,0.0005413806250089692,0.0284,1.0041,-1.0028
51,0.19921875,0.800659375,0.000569635000033486,0.0312,1.0049,-1.0044
52,0.203125,0.7967359375,0.0006762993749589441,0.0356,1.0056,-1.0074
53,0.20703125,0.79280078125,0.0007857460937827909,0.043,1.0066,-1.0093
54,0.2109375,0.788858203125,0.0009889246484533487,0.0516,1.010818182,-1.0083
55,0.21484375,0.78491953125,0.0011309673437551737,0.0599,1.012918182,-1.0111
