,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,1.0,0.0,0.0,1.0,-1.0
1,0.00390625,0.99609375,0.0,0.0,1.0,-1.0
2,0.0078125,0.9921875,0.0,0.0,1.0,-1.0
3,0.01171875,0.98828125,0.0,0.0,1.0,-1.0
4,0.015625,0.984375,0.0,0.0,1.0,-1.001
5,0.01953125,0.98046484375,3.902343763684257e-06,0.001,1.0,-1.0
6,0.0234375,0.97655859375,3.902343735262548e-06,0.001,1.0,-1.001
7,0.02734375,0.9726484375,7.796875024723704e-06,0.002,1.0,-1.0
8,0.03125,0.9687421875,7.796875024723704e-06,0.002,1.0,-1.0
9,0.03515625,0.9648359375,7.796875024723704e-06,0.002,1.0,-1.002
10,0.0390625,0.960921875,2.3374999983616362e-05,0.004,1.001,-1.001
11,0.04296875,0.95701171875,2.7246093736721377e-05,0.005,1.001,-1.0
12,0.046875,0.95310546875,2.7246093765143087e-05,0.005,1.001,-1.0
13,0.05078125,0.94919921875,2.7246093736721377e-05,0.005,1.001,-1.001
14,0.0546875,0.9452890625,3.110937498718158e-05,0.006,1.001,-1.0
15,0.05859375,0.9413828125,3.110937501560329e-05,0.006,1.001,-1.004
16,0.0625,0.9374609375,4.6484374990996e-05,0.01,1.001,-1.0
17,0.06640625,0.9335546875,4.6484374990996e-05,0.01,1.001,-1.002
18,0.0703125,0.929640625,5.4125000019666913e-05,0.012,1.001,-1.005
19,0.07421875,0.92571484375,8.871484374139982e-05,0.017,1.002,-1.006
20,0.078125,0.92178515625,0.00014246484371938095,0.023,1.005,-1.006
21,0.08203125,0.91785546875,0.0001724960937394826,0.029,1.005,-1.002
22,0.0859375,0.91394140625,0.00017983984375291584,0.031,1.005,-1.014
23,0.08984375,0.90998046875,0.0003631835937198957,0.045,1.005,-1.008
24,0.09375,0.90604296875,0.00042262109374746615,0.053,1.006,-1.008
25,0.09765625,0.90210546875,0.00048155859374787724,0.061,1.006,-1.016
26,0.1015625,0.89813671875,0.0009026210937577162,0.076,1.0132,-1.019
27,0.10546875,0.89415625,0.0010655625000026703,0.095,1.0162,-1.014
28,0.109375,0.8901953125,0.0011714843750212367,0.109,1.0192,-1.012
29,0.11328125,0.8862421875,0.0012699843750283435,0.12,1.0227,-1.021
30,0.1171875,0.88225390625,0.0015255898437658288,0.138,1.0288000000000002,-1.011
31,0.12109375,0.8783046875,0.0016651718750040345,0.149,1.0358000000000003,-1.026
32,0.125,0.874296875,0.0025062500000103682,0.166,1.043375,-1.026
33,0.12890625,0.8702890625,0.0028107968749679912,0.19,1.0519749999999999,-1.039
34,0.1328125,0.86623046875,0.003558496093745589,0.228,1.06764167,-1.049
35,0.13671875,0.8621328125,0.004443609375016422,0.275,1.07924167,-1.06
36,0.140625,0.8579921875,0.007557359375027772,0.331,1.0800750000000001,-1.079
37,0.14453125,0.85377734375,0.010763714843733396,0.406,1.1221455900000001,-1.045
38,0.1484375,0.8496953125,0.012232484375005015,0.448,1.1501455900000002,-1.064
39,0.15234375,0.8455390625,0.01424310937500195,0.506,1.17494862,-1.141
40,0.15625,0.84108203125,0.027080121093746357,0.638,1.22061529,-1.132
41,0.16015625,0.83666015625,0.032557714843733265,0.759,1.2806819299999996,-1.112
42,0.1640625,0.83231640625,0.03366277734372147,0.864,1.3136247599999997,-1.1
43,0.16796875,0.82801953125,0.0363604335937282,0.947,1.33875499,-1.121
44,0.171875,0.823640625,0.04217224999999303,1.06,1.3948083299999998,-1.137
45,0.17578125,0.81919921875,0.04967880859373963,1.172,1.4699837599999999,-1.184
46,0.1796875,0.81457421875,0.055277496093737,1.335,1.58036831,-1.233
47,0.18359375,0.8097578125,0.0806374843749893,1.543,1.7130873000000002,-1.318
48,0.1875,0.804609375,0.09520156249999445,1.824,1.8994937600000006,-1.294
49,0.19140625,0.7995546875,0.13863829687497287,2.046,2.0373034300000006,-1.54
50,0.1953125,0.7935390625,0.2077995468750089,2.528,2.29167341,-1.47
51,0.19921875,0.787796875,0.25578525000003083,2.919,2.557313820000001,-1.529
52,0.203125,0.78182421875,0.3133648085937466,3.329,2.8743511900000014,-1.775
53,0.20703125,0.774890625,0.41480318749998446,3.947,3.2887609800000006,-2.092
