,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.9930035625,0.007223484436050058,1.9,1.036461169999998,-1.062
1,6.25e-05,0.9929371875,0.007240185935050249,1.9,1.0364727299999976,-1.06
2,0.000125,0.9928709375,0.007225673438981175,1.902,1.0366019999999978,-1.067
3,0.0001875,0.99280425,0.007232535999268293,1.902,1.0366490399999975,-1.058
4,0.00025,0.9927381249999999,0.00723649375140667,1.902,1.0366678199999977,-1.061
5,0.0003125,0.9926718125,0.007232249937951565,1.902,1.0367099599999976,-1.064
6,0.000375,0.9926053125,0.00724023593775928,1.902,1.0367432499999978,-1.074
7,0.0004375,0.9925381875,0.007248604936525226,1.903,1.0368202699999978,-1.05
8,0.0005,0.9924725624999999,0.007245642438530922,1.904,1.0368754199999979,-1.05
9,0.0005625,0.9924069375,0.007247867437079549,1.905,1.0369294599999976,-1.071
10,0.000625,0.99234,0.007272649999707937,1.905,1.0369547099999978,-1.057
11,0.0006875,0.9922739375,0.007288019437342882,1.905,1.036972019999998,-1.052
12,0.00075,0.9922081875000001,0.007288839938119054,1.905,1.0369863399999986,-1.067
13,0.0008125,0.9921414999999999,0.007308144001290202,1.907,1.0371073099999986,-1.068
14,0.000875,0.99207475,0.007333349000662565,1.908,1.0371332499999986,-1.061
15,0.0009375,0.9920084375,0.0073466734364628795,1.909,1.0371664399999985,-1.071
16,0.001,0.9919415,0.0073558689989149575,1.911,1.0372688999999984,-1.07
17,0.0010625,0.991874625,0.0073599977474659685,1.912,1.0373555099999983,-1.048
18,0.001125,0.991809125,0.007376692749559879,1.912,1.0373557499999986,-1.056
19,0.0011875,0.991743125,0.00739274375140667,1.912,1.0373686699999984,-1.069
20,0.00125,0.9916763125,0.00740718493796885,1.913,1.0374876599999987,-1.056
21,0.0013125,0.9916103125,0.007402985939756036,1.915,1.0375199499999987,-1.074
22,0.001375,0.9915431875,0.007400344936177135,1.917,1.0376414399999985,-1.063
23,0.0014375,0.99147675,0.007418850997462869,1.917,1.0376537399999983,-1.07
24,0.0015,0.9914098750000001,0.007431539747864008,1.919,1.0377698299999987,-1.063
25,0.0015625,0.9913434375000001,0.007434998435899615,1.921,1.0378165299999986,-1.05
26,0.001625,0.9912778125,0.007447435937821865,1.922,1.0378329699999984,-1.069
27,0.0016875,0.9912110000000001,0.007433538999408484,1.923,1.037932269999998,-1.06
28,0.00175,0.99114475,0.0074426339976489545,1.923,1.037996529999998,-1.065
29,0.0018125,0.9910781875,0.007460874937474727,1.925,1.0380896899999978,-1.07
30,0.001875,0.9910113125000001,0.0074626399371773,1.929,1.0382719899999977,-1.082
31,0.0019375,0.9909436875000001,0.007481199938803911,1.931,1.038370669999997,-1.056
32,0.002,0.9908776874999999,0.007483946938067675,1.931,1.0383880199999975,-1.064
33,0.0020625,0.9908111875,0.0075026599392294885,1.931,1.0384010799999976,-1.067
34,0.002125,0.9907445,0.007497140998020768,1.931,1.0384627199999974,-1.065
35,0.0021875,0.9906779375,0.007495099438354373,1.932,1.038511509999997,-1.05
36,0.00225,0.9906123125,0.007511986935511231,1.932,1.0385103799999973,-1.069
