,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.993122,0.006918231999967247,1.192,1.0280655100000013,-1.05
1,0.0005,0.992597,0.006967181999934837,1.194,1.0281943800000013,-1.044
2,0.001,0.992075,0.007072749999817461,1.194,1.0281229100000013,-1.044
3,0.0015,0.991553,0.007095382000086829,1.198,1.0289561700000016,-1.049
4,0.002,0.9910285,0.007152875500032678,1.2,1.0292485700000016,-1.038
5,0.0025,0.9905095,0.007189319500001148,1.202,1.0294782200000012,-1.054
6,0.003,0.9899825,0.007144887500209734,1.207,1.0304177200000013,-1.047
7,0.0035,0.989459,0.0071596380001865325,1.207,1.0303172800000011,-1.045
8,0.004,0.9889365,0.007203435499919578,1.208,1.0304239500000012,-1.036
9,0.0045,0.9884185,0.007199215499917045,1.208,1.0303738300000014,-1.052
10,0.005,0.9878925000000001,0.00723238749965094,1.211,1.0307006100000011,-1.043
11,0.0055,0.987371,0.00727171800006181,1.211,1.0305875700000016,-1.047
12,0.006,0.9868475,0.007276987500255927,1.213,1.0308176900000015,-1.062
13,0.0065,0.9863165,0.00733815550012514,1.217,1.0311559800000014,-1.038
14,0.007,0.9857975,0.007328487500082702,1.218,1.0311966400000014,-1.055
15,0.0075,0.98527,0.007371200000168755,1.219,1.0313299600000019,-1.057
16,0.008,0.9847414999999999,0.007389855500077829,1.219,1.0312972200000017,-1.051
17,0.0085,0.984216,0.007438687999965623,1.219,1.0312988200000017,-1.058
18,0.009,0.983687,0.007456061999779194,1.222,1.0315596700000018,-1.046
19,0.0095,0.983164,0.007424207999836653,1.225,1.0323230400000019,-1.054
20,0.01,0.982637,0.007444462000159547,1.226,1.0323210700000018,-1.061
21,0.0105,0.9821065,0.00754981549992226,1.227,1.0325651600000016,-1.063
22,0.011,0.9815750000000001,0.007602749999845401,1.228,1.0327589300000017,-1.056
23,0.0115,0.981047,0.0076295819997321815,1.228,1.032649180000002,-1.048
24,0.012,0.980523,0.007653941999888047,1.229,1.032777860000002,-1.059
25,0.0125,0.9799935000000001,0.00759641549992375,1.233,1.0333604200000017,-1.042
26,0.013,0.9794725,0.007626987500116229,1.233,1.033260700000002,-1.052
27,0.0135,0.9789465,0.007631775499787182,1.234,1.033382820000002,-1.048
28,0.014,0.9784225,0.007609487499808893,1.235,1.033534690000002,-1.047
29,0.0145,0.977899,0.007621597999939695,1.238,1.0339706300000018,-1.046
30,0.015,0.977376,0.007643248000182211,1.239,1.0340519100000019,-1.06
31,0.0155,0.976846,0.007673567999852821,1.241,1.0343052200000018,-1.06
32,0.016,0.9763160000000001,0.0076912879997398705,1.246,1.034963090000002,-1.05
33,0.0165,0.9757910000000001,0.007750637999735773,1.247,1.0350224100000018,-1.063
34,0.017,0.9752595000000001,0.007800819499883801,1.25,1.0353080100000018,-1.046
35,0.0175,0.9747365,0.007812635500216856,1.252,1.035507240000002,-1.039
36,0.018,0.974217,0.007809821999864653,1.252,1.0355306700000018,-1.054
37,0.0185,0.97369,0.007835799999767915,1.257,1.0362595800000014,-1.05
38,0.019,0.973165,0.007889550000196323,1.26,1.0367159800000016,-1.044
39,0.0195,0.972643,0.007878101999871432,1.261,1.0367067700000014,-1.056
40,0.02,0.9721150000000001,0.007911549999844282,1.263,1.0368670100000015,-1.051
41,0.0205,0.9715895,0.007842479499988259,1.264,1.0370146200000014,-1.048
42,0.021,0.9710655,0.007898919499712064,1.264,1.0370391300000013,-1.057
43,0.0215,0.970537,0.007945261999731883,1.267,1.0374020500000012,-1.053
44,0.022,0.9700105,0.007996279500192032,1.267,1.0373451600000014,-1.052
45,0.0225,0.9694845,0.00801001949980855,1.269,1.0374610900000014,-1.057
46,0.023,0.968956,0.008041127999778836,1.27,1.0375508600000012,-1.051
47,0.0235,0.9684305000000001,0.008065839499933645,1.274,1.0380886900000015,-1.062
48,0.024,0.9678995,0.008135299500077962,1.274,1.0379945400000017,-1.061
49,0.0245,0.967369,0.008126677999971434,1.276,1.0382366800000016,-1.063
50,0.025,0.9668375,0.00824868750013411,1.278,1.0383054800000016,-1.042
51,0.0255,0.9663165,0.00827815549983643,1.278,1.0382267900000015,-1.056
52,0.026,0.9657885,0.00832803549990058,1.278,1.0381066000000017,-1.057
53,0.0265,0.96526,0.00836779999989085,1.28,1.0383393900000017,-1.042
