,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.99364,0.006727600000012899,0.806,1.01133335,-1.082
1,0.004,0.989312,0.007041663999989396,0.832,1.0118190599999997,-1.054
2,0.008,0.985096,0.007251696000021184,0.843,1.0132190599999997,-1.061
3,0.012,0.980852,0.0075025240000104534,0.854,1.0143857299999999,-1.057
4,0.016,0.976624,0.007662655999971321,0.868,1.0188857299999998,-1.06
5,0.02,0.972384,0.007899135999992722,0.88,1.0203523999999997,-1.073
6,0.024,0.968092,0.008089884000015445,0.895,1.0226190699999997,-1.072
7,0.028,0.963804,0.008282396000024164,0.908,1.0240190699999996,-1.065
8,0.032,0.959544,0.008604016000026605,0.92,1.0263024099999998,-1.057
9,0.036,0.955316,0.008911035999975865,0.923,1.0257547899999997,-1.061
10,0.04,0.951072,0.009032703999982914,0.937,1.0288881299999997,-1.088
11,0.044,0.94672,0.009334399999992457,0.949,1.02992622,-1.069
12,0.048,0.942444,0.00980671600002097,0.962,1.0332428899999995,-1.087
13,0.052,0.938096,0.010189695999986726,0.978,1.0357333599999996,-1.063
14,0.056,0.933844,0.010601915999955963,0.987,1.0364404899999995,-1.073
15,0.06,0.929552,0.010877823999995598,0.999,1.0377238199999996,-1.091
16,0.064,0.925188,0.01133916400000453,1.012,1.0409095399999995,-1.074
17,0.068,0.920892,0.011493083999957888,1.022,1.0425674799999995,-1.082
18,0.072,0.9165639999999999,0.011964476000022841,1.029,1.0421420799999994,-1.109
19,0.076,0.912128,0.012595903999987059,1.042,1.0437063599999992,-1.091
20,0.08,0.907764,0.013198076000000582,1.054,1.0467769899999997,-1.105
21,0.084,0.903344,0.013652415999968071,1.069,1.0502707900000001,-1.095
22,0.088,0.8989640000000001,0.014095675999968079,1.074,1.0517517399999998,-1.111
23,0.092,0.89452,0.014292400000005728,1.091,1.05848831,-1.114
24,0.096,0.890064,0.014982976000028429,1.109,1.0618422599999997,-1.099
25,0.1,0.885668,0.015404443999985234,1.116,1.0638541399999997,-1.129
26,0.104,0.881152,0.016196223999984796,1.126,1.0645850399999996,-1.124
27,0.108,0.876656,0.017236415999999734,1.139,1.0665581099999997,-1.131
28,0.112,0.8721319999999999,0.017951644000015223,1.15,1.06876526,-1.129
29,0.116,0.8676159999999999,0.01893113599999924,1.164,1.0729401699999996,-1.116
30,0.12,0.863152,0.020012223999976413,1.172,1.0743349299999998,-1.141
31,0.124,0.858588,0.020665563999995355,1.188,1.0799349999999996,-1.132
32,0.128,0.8540599999999999,0.021375100000033852,1.206,1.0864842699999997,-1.162
33,0.132,0.8494120000000001,0.02254556399997091,1.227,1.09154312,-1.106
34,0.136,0.8449880000000001,0.023295963999960805,1.235,1.0929494699999998,-1.175
35,0.14,0.840288,0.024059264000010443,1.256,1.1010528400000001,-1.167
36,0.144,0.83562,0.025103899999987335,1.281,1.10844068,-1.155
37,0.148,0.831,0.025973999999987427,1.3,1.11268907,-1.167
38,0.152,0.826332,0.026652444000006652,1.318,1.1167766300000002,-1.214
39,0.156,0.821476,0.028387355999991995,1.346,1.1231690699999999,-1.187
40,0.16,0.8167279999999999,0.029859504000021842,1.372,1.1319250300000006,-1.171
41,0.164,0.812044,0.030019516000000294,1.396,1.1394192100000005,-1.182
42,0.168,0.807316,0.030559035999991466,1.411,1.1432774300000008,-1.195
43,0.172,0.8025359999999999,0.032208176000014646,1.445,1.1530626600000011,-1.201
44,0.176,0.797732,0.03341404400000465,1.47,1.162284950000001,-1.226
45,0.18,0.792828,0.03527260399999795,1.505,1.174073150000001,-1.226
46,0.184,0.787924,0.03737055600000894,1.54,1.1852700900000017,-1.271
47,0.188,0.78284,0.03998360000000684,1.596,1.2096537500000024,-1.279
48,0.192,0.7777240000000001,0.04254895599998417,1.64,1.2260682800000027,-1.326
49,0.196,0.77242,0.0462559000000183,1.696,1.2446846800000027,-1.331
50,0.2,0.767096,0.049635695999983,1.753,1.2623955500000028,-1.372
51,0.204,0.761608,0.05419358400002238,1.82,1.2845508100000036,-1.393
52,0.208,0.7560359999999999,0.06015567600002396,1.899,1.3140815200000042,-1.407
53,0.212,0.750408,0.06590238399998634,1.959,1.3347760700000033,-1.397
54,0.216,0.74482,0.07105189999999129,2.02,1.3537471200000035,-1.468
55,0.22,0.7389479999999999,0.08248732400001609,2.12,1.3934929300000047,-1.497
56,0.224,0.7329600000000001,0.08823359999997774,2.219,1.4302418200000033,-1.508
57,0.228,0.726928,0.09377670399998897,2.325,1.4652992300000027,-1.582
58,0.232,0.7206,0.10218999999998778,2.46,1.5162706300000017,-1.656
59,0.236,0.7139759999999999,0.11511185599998862,2.625,1.579248490000002,-1.731
60,0.24,0.707052,0.14163532399998804,2.812,1.658335290000002,-1.757
61,0.244,0.700024,0.16859985600000071,2.979,1.7309068000000025,-1.84
62,0.248,0.692664,0.19923377600000822,3.167,1.8049038300000024,-2.05
63,0.252,0.6844640000000001,0.24168217599997296,3.435,1.9148002300000029,-2.231
64,0.256,0.6755399999999999,0.3356871000000101,3.745,2.055813970000003,-2.589
65,0.26,0.665184,0.5082415360000013,4.188,2.270644520000003,-2.907
66,0.264,0.653556,0.6981907159999828,4.797,2.584977150000004,-3.353
67,0.268,0.640144,0.8582508159999997,5.337,2.819841470000003,-3.905
68,0.272,0.624524,1.1502713559999975,6.32,3.3289011499999983,-4.477
69,0.276,0.6066159999999999,1.5706251360000023,7.364,3.8219397199999996,-5.606
70,0.28,0.584192,2.1959907839999944,8.549,4.451605480000003,-5.987
71,0.284,0.5602440000000001,2.9279731159999938,10.007,5.161569219999999,-7.114
72,0.288,0.531788,3.833568763999996,11.637,5.953769730000005,-8.317
73,0.292,0.49851999999999996,4.821260400000006,13.547,6.885305830000001,-8.199
74,0.296,0.46572399999999997,5.5400929560000005,14.887,7.445767630000002,-8.737
75,0.3,0.430776,6.049585456000001,16.594,8.230687459999999,-8.787
76,0.304,0.395628,6.257841404000006,17.612,8.690317359999996,-10.063
77,0.308,0.35537599999999997,6.382950656000008,19.008,9.281242700000012,-9.756
78,0.312,0.31635199999999997,6.2651290240000055,19.634,9.492463869999995,-9.717
79,0.316,0.27748399999999995,5.7868054360000025,19.854,9.518997560000013,-9.674
80,0.32,0.238788,5.098988764,20.372,9.728156799999994,-8.374
81,0.324,0.205292,4.241666684,20.072,9.492501789999999,-6.942
82,0.328,0.177524,3.5424793560000007,19.182,9.023277680000012,-6.162
83,0.332,0.152876,2.795388156000001,18.197,8.50128853,-5.502
84,0.336,0.13086799999999998,2.0890756440000007,17.213,7.958502800000002,-4.822
85,0.34,0.11158,1.4760159,16.028,7.41355097000001,-3.413
86,0.344,0.097928,1.0764467040000003,14.878,6.851269130000002,-3.267
87,0.348,0.08486,0.7446911,13.725,6.335097989999994,-2.785
88,0.352,0.07372,0.5533324000000001,12.534,5.818753449999994,-2.158
89,0.356,0.065088,0.36481606400000033,11.653,5.426662149999999,-1.569
90,0.36,0.058811999999999996,0.27009116400000016,10.721,5.024757980000003,-1.441
91,0.364,0.053048000000000005,0.17730142399999987,9.93,4.700361610000004,-1.125
92,0.368,0.048548,0.13140092400000003,9.279,4.418217409999996,-1.009
93,0.372,0.044512,0.09368646399999994,8.679,4.158388209999996,-0.86
94,0.376,0.041072000000000004,0.06284870399999994,8.19,3.9407558199999997,-0.744
95,0.38,0.038096,0.049749696000000086,7.701,3.731581900000003,-0.553
96,0.384,0.035884,0.04153663599999999,7.222,3.54379059,-0.54
97,0.388,0.033724,0.03749295600000005,6.791,3.3828747600000044,-0.591
98,0.392,0.03136,0.028009600000000034,6.404,3.2401626599999953,-0.5
