,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.99364,0.006727600000012899,0.806,1.0123333499999998,-1.025
1,0.004,0.98954,0.006883100000035483,0.812,1.0122000199999999,-1.033
2,0.008,0.9854080000000001,0.006992383999982849,0.822,1.0135333599999998,-1.036
3,0.012,0.981264,0.0072565759999852165,0.828,1.0143381199999997,-1.028
4,0.016,0.977152,0.007324223999981769,0.838,1.0139047899999998,-1.024
5,0.02,0.973056,0.007425216000003274,0.842,1.0138571699999996,-1.032
6,0.024,0.968928,0.007632703999988734,0.845,1.0138095499999997,-1.023
7,0.028,0.964836,0.0077492759999877306,0.847,1.0144762199999997,-1.027
8,0.032,0.9607279999999999,0.007867504000023473,0.851,1.0144762199999997,-1.032
9,0.036,0.9566,0.007941999999980907,0.857,1.0159762199999998,-1.033
10,0.04,0.952468,0.008077244000014616,0.869,1.0174762199999996,-1.047
11,0.044,0.94828,0.008308400000008988,0.879,1.0187619299999997,-1.031
12,0.048,0.944156,0.008605916000029537,0.882,1.0188143099999998,-1.038
13,0.052,0.9400040000000001,0.008627995999995619,0.894,1.0203619299999998,-1.033
14,0.056,0.9358719999999999,0.008827904000034323,0.898,1.0202262199999999,-1.036
15,0.06,0.931728,0.008925504000042566,0.903,1.0213928899999998,-1.045
16,0.064,0.927548,0.009048924000002444,0.918,1.0242500299999997,-1.038
17,0.068,0.923396,0.009096796000027097,0.928,1.0242500299999997,-1.02
18,0.072,0.919316,0.00926303599998937,0.931,1.0242500299999997,-1.042
19,0.076,0.9151480000000001,0.009398523999989266,0.939,1.0255833699999999,-1.052
20,0.08,0.9109400000000001,0.009699099999968893,0.946,1.0268786099999998,-1.03
21,0.084,0.9068200000000001,0.009935899999982211,0.945,1.0270452799999998,-1.048
22,0.088,0.9026280000000001,0.009981403999961913,0.953,1.0276119499999998,-1.05
23,0.092,0.898428,0.010194203999999445,0.964,1.0284405199999997,-1.036
24,0.096,0.894284,0.01028383600001689,0.967,1.0284405199999997,-1.053
25,0.1,0.890072,0.010550703999993857,0.973,1.0275595599999996,-1.033
26,0.104,0.8859400000000001,0.010895099999965168,0.974,1.0283398599999998,-1.041
27,0.108,0.881776,0.01116345600000932,0.98,1.0298588999999998,-1.037
28,0.112,0.8776280000000001,0.011349403999978677,0.984,1.0302755599999998,-1.04
29,0.116,0.8734679999999999,0.011489244000025793,0.993,1.0309422199999998,-1.039
30,0.12,0.869312,0.011665663999971002,0.998,1.03274222,-1.058
31,0.124,0.8650800000000001,0.011844399999972666,1.001,1.03410889,-1.046
32,0.128,0.860896,0.01203129600000102,1.006,1.03470333,-1.048
33,0.132,0.8567039999999999,0.012348096000030636,1.009,1.0345176099999998,-1.044
34,0.136,0.8525280000000001,0.012458303999999771,1.014,1.0346056899999996,-1.042
35,0.14,0.84836,0.012759599999990314,1.019,1.0363779099999997,-1.044
36,0.144,0.8441839999999999,0.012975536000012652,1.022,1.0363636199999997,-1.058
37,0.148,0.839952,0.013215424000023632,1.027,1.0363326499999999,-1.051
38,0.152,0.835748,0.013276123999996343,1.033,1.0373754999999996,-1.065
39,0.156,0.831488,0.013750463999982457,1.04,1.0387826299999996,-1.044
40,0.16,0.827312,0.01413766399997985,1.047,1.0395691299999998,-1.051
41,0.164,0.823108,0.014381084000022384,1.055,1.04219769,-1.067
42,0.168,0.81884,0.014831599999975879,1.06,1.0433960899999999,-1.064
43,0.172,0.814584,0.015258736000017962,1.067,1.0447706899999996,-1.06
44,0.176,0.8103440000000001,0.01563441599998623,1.073,1.0460468799999996,-1.073
45,0.18,0.806052,0.016191323999984887,1.081,1.0493262399999994,-1.062
46,0.184,0.801804,0.016574396000010892,1.085,1.0505016299999999,-1.047
47,0.188,0.797616,0.01679513600000064,1.091,1.0524468699999998,-1.059
48,0.192,0.79338,0.01734389999997802,1.099,1.05430717,-1.048
49,0.196,0.789188,0.017499164000008022,1.104,1.05434619,-1.085
50,0.2,0.784848,0.017700224000029265,1.114,1.0574624000000001,-1.063
51,0.204,0.780596,0.018443196000007447,1.124,1.0593471399999999,-1.093
52,0.208,0.776224,0.018747455999982777,1.129,1.0581202299999999,-1.072
53,0.212,0.7719360000000001,0.019246975999994902,1.13,1.0571283099999997,-1.062
54,0.216,0.767688,0.01980766400002176,1.142,1.06016086,-1.089
55,0.22,0.763332,0.020532443999982206,1.15,1.06279874,-1.071
56,0.224,0.7590480000000001,0.020957423999992897,1.157,1.06626585,-1.077
57,0.228,0.75474,0.0213350999999966,1.161,1.0677572400000002,-1.064
58,0.232,0.750484,0.0213734359999944,1.169,1.0709143099999998,-1.068
59,0.236,0.746212,0.021484763999993446,1.172,1.0710314000000003,-1.072
60,0.24,0.741924,0.022118556000001264,1.18,1.0716874500000004,-1.079
61,0.244,0.7376079999999999,0.022561584000010043,1.188,1.0732431999999998,-1.082
62,0.248,0.7332799999999999,0.022742400000017367,1.195,1.0735032000000002,-1.08
63,0.252,0.72896,0.023225600000005217,1.207,1.07705219,-1.064
64,0.256,0.7247039999999999,0.023444096000021092,1.21,1.07787903,-1.087
65,0.26,0.720356,0.023420315999988815,1.225,1.0846452000000002,-1.072
66,0.264,0.716068,0.023730844000005163,1.235,1.0892755600000001,-1.083
67,0.268,0.711736,0.024622576000008847,1.241,1.0922397000000004,-1.1
68,0.272,0.707336,0.025233775999993668,1.252,1.0940074400000006,-1.081
69,0.276,0.703012,0.026031964000023437,1.259,1.0952640400000004,-1.124
70,0.28,0.6985159999999999,0.026917436000017916,1.274,1.1008260700000005,-1.112
71,0.284,0.694068,0.027454844000007143,1.287,1.1041141800000003,-1.088
72,0.288,0.689716,0.028155835999990813,1.298,1.1066780600000001,-1.11
73,0.292,0.685276,0.028804956000021774,1.311,1.1113667200000004,-1.09
74,0.296,0.6809160000000001,0.02925023599997803,1.328,1.1176406100000003,-1.105
75,0.3,0.676496,0.030058495999997832,1.332,1.1175644000000002,-1.102
76,0.304,0.672088,0.02987806400001864,1.337,1.1181409199999999,-1.115
77,0.308,0.667628,0.030697403999976815,1.346,1.1194363900000004,-1.091
78,0.312,0.663264,0.030888575999997555,1.355,1.1208433400000002,-1.115
79,0.316,0.658804,0.031166396000000533,1.369,1.1246021800000003,-1.077
80,0.32,0.654496,0.0312664960000111,1.373,1.1258785000000007,-1.103
81,0.324,0.650084,0.03195823600000586,1.378,1.127335010000001,-1.136
82,0.328,0.64554,0.03281910000000789,1.391,1.1303886500000007,-1.117
83,0.332,0.641072,0.03312870400000247,1.406,1.1347487000000005,-1.114
84,0.336,0.636616,0.03430513600000995,1.413,1.136588970000001,-1.119
85,0.34,0.63214,0.03565510000000358,1.429,1.141817850000002,-1.127
86,0.344,0.627632,0.036542144000020926,1.446,1.146256710000002,-1.1
87,0.348,0.623232,0.03703654400000232,1.443,1.1430648100000023,-1.161
88,0.352,0.6185879999999999,0.03808156400000735,1.456,1.1503460900000018,-1.133
89,0.356,0.614056,0.038375215999985814,1.47,1.1546483600000017,-1.143
90,0.36,0.609484,0.03928543599997647,1.489,1.1592859200000014,-1.141
91,0.364,0.60492,0.04066040000000794,1.509,1.166060890000001,-1.15
92,0.368,0.6003200000000001,0.041614399999991294,1.517,1.1679208600000013,-1.123
93,0.372,0.595828,0.04149260400001367,1.529,1.169314170000001,-1.165
94,0.376,0.591168,0.04235494399999152,1.551,1.1770791500000009,-1.144
95,0.38,0.586592,0.04360838400000648,1.563,1.180831620000001,-1.131
96,0.384,0.582068,0.04475084399999468,1.572,1.1828051600000007,-1.131
97,0.388,0.577544,0.04569201600001543,1.584,1.1870499900000007,-1.118
98,0.392,0.573072,0.04712870400000247,1.602,1.191058490000001,-1.124
99,0.396,0.568576,0.047709055999992415,1.612,1.1929753700000005,-1.14
100,0.4,0.564016,0.04980793600001198,1.638,1.2002450400000013,-1.163
101,0.404,0.5593640000000001,0.05136687600000005,1.659,1.2039749500000017,-1.154
102,0.408,0.554748,0.05258812399998715,1.681,1.207195550000002,-1.16
103,0.412,0.5501079999999999,0.05453308400002425,1.698,1.2109458800000024,-1.173
104,0.416,0.545416,0.05565073599999596,1.713,1.2134922000000035,-1.171
105,0.42,0.540732,0.05720604400000593,1.735,1.2192189400000022,-1.148
106,0.424,0.53614,0.05804710000001069,1.75,1.222199790000002,-1.18
107,0.428,0.53142,0.06023189999999886,1.775,1.229240210000002,-1.133
108,0.432,0.526888,0.062162863999983525,1.781,1.2298441700000027,-1.17
109,0.436,0.522208,0.06484518400000525,1.796,1.2337292600000016,-1.151
110,0.44,0.5176040000000001,0.06661679599998752,1.814,1.2382335100000017,-1.171
111,0.444,0.5129199999999999,0.06765240000002086,1.834,1.2424522600000016,-1.139
112,0.448,0.5083639999999999,0.06929887600000802,1.851,1.2451404300000024,-1.225
113,0.452,0.503464,0.0706641759999984,1.889,1.256334840000002,-1.229
114,0.456,0.498548,0.0720849240000025,1.912,1.2638825200000008,-1.171
115,0.46,0.49386399999999997,0.07469137600000249,1.932,1.2675913100000007,-1.21
116,0.464,0.489024,0.07631385600000067,1.968,1.2791277900000027,-1.168
117,0.468,0.48435199999999995,0.07857702400000562,1.986,1.2823037000000017,-1.156
118,0.472,0.479728,0.08091750399999728,1.999,1.2854983200000023,-1.227
119,0.476,0.47482,0.08307990000000427,2.024,1.2911551800000012,-1.224
120,0.48,0.46992399999999995,0.08595855600000504,2.049,1.297037150000001,-1.229
121,0.484,0.465008,0.08807398400000238,2.086,1.3147875100000013,-1.219
122,0.488,0.460132,0.08949564400000236,2.128,1.3295931300000008,-1.219
123,0.492,0.455256,0.09124561600000743,2.144,1.3324170400000013,-1.209
124,0.496,0.45042000000000004,0.09173989999999321,2.178,1.341886850000001,-1.206
125,0.5,0.445596,0.09327919600000315,2.2,1.344891210000001,-1.244
126,0.504,0.44062,0.09749189999999362,2.244,1.3580363799999995,-1.245
127,0.508,0.43563999999999997,0.10054359999999724,2.277,1.3653939700000006,-1.26
128,0.512,0.43060000000000004,0.10500599999999395,2.303,1.3731094400000017,-1.3
129,0.516,0.4254,0.11075000000000727,2.365,1.3968591900000014,-1.226
130,0.52,0.420496,0.11113049600000523,2.385,1.4036980400000008,-1.272
131,0.524,0.415408,0.11268838399999367,2.437,1.4191904500000017,-1.288
132,0.528,0.41025599999999995,0.1172156160000086,2.469,1.4288902800000014,-1.276
133,0.532,0.405152,0.12324422400000185,2.514,1.4396123400000007,-1.287
134,0.536,0.400004,0.12805999599999632,2.536,1.4472917400000005,-1.285
135,0.54,0.394864,0.13134937600000557,2.567,1.4576277900000003,-1.291
136,0.544,0.3897,0.13331350000000383,2.624,1.4745666800000001,-1.34
137,0.548,0.38433999999999996,0.13663110000000597,2.698,1.4983418600000014,-1.355
