,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.9929891249999999,0.007411678875796497,1.647,1.0350535999999984,-1.125
1,0.000125,0.9928484999999999,0.007446132000535726,1.652,1.0351833399999988,-1.097
2,0.00025,0.992711375,0.007443689875304699,1.653,1.0351867199999993,-1.103
3,0.000375,0.9925735,0.00747053200006485,1.654,1.035159949999999,-1.098
4,0.0005,0.99243625,0.007497487500309944,1.657,1.0352957099999989,-1.077
5,0.000625,0.992301625,0.007514053876511753,1.657,1.0352457499999992,-1.11
6,0.00075,0.992162875,0.007520398874767124,1.659,1.0353484699999995,-1.113
7,0.000875,0.99202375,0.007552487500943244,1.66,1.0353772999999993,-1.088
8,0.001,0.99188775,0.0075801994996145365,1.663,1.0355503299999989,-1.092
9,0.001125,0.99175125,0.007628987499512732,1.666,1.0356897899999988,-1.08
10,0.00125,0.9916162500000001,0.007652137499302626,1.667,1.0357489599999987,-1.098
11,0.001375,0.991479,0.007646221999078989,1.668,1.0358075799999984,-1.08
12,0.0015,0.991344,0.007644811999052763,1.669,1.0358867499999989,-1.091
13,0.001625,0.991207625,0.007667259874753654,1.671,1.0359555499999984,-1.099
14,0.00175,0.99107025,0.00765726950019598,1.673,1.036125589999998,-1.102
15,0.001875,0.9909325,0.007649799999780953,1.675,1.0361761399999985,-1.084
16,0.002,0.990797,0.007653078000061214,1.676,1.0362992099999986,-1.098
17,0.002125,0.9906597500000001,0.007675089498981834,1.676,1.0363093899999982,-1.102
18,0.00225,0.990522,0.0076851279987022285,1.677,1.0364337899999987,-1.089
19,0.002375,0.9903858750000001,0.0076951788738369945,1.677,1.036476529999999,-1.082
20,0.0025,0.990250625,0.0077051218748092655,1.677,1.036419579999999,-1.078
21,0.002625,0.990115875,0.007711458875797689,1.677,1.0364081899999993,-1.091
22,0.00275,0.9899795,0.007699887999333441,1.679,1.0364296599999985,-1.088
23,0.002875,0.9898435,0.007714812000282109,1.679,1.0363775699999984,-1.101
24,0.003,0.989705875,0.007717548875138164,1.679,1.0363470499999983,-1.082
25,0.003125,0.9895706249999999,0.007715721875429154,1.681,1.0364974899999986,-1.082
26,0.00325,0.989435375,0.00770346387475729,1.683,1.0365639399999989,-1.1
